epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,918.397,1.1346,1.70294,1.54424,0.93365,0.93675,0.96157,0.67787,1.02668,1.03168,1.63266,0.000203488,0.000203488,0.000203488
2,1867.01,0.95631,0.75232,1.38342,0.84954,0.90032,0.90558,0.65463,0.95329,1.27567,1.54016,0.000371051,0.000371051,0.000371051
3,2763.18,0.94526,0.69237,1.39624,0.82511,0.85067,0.91808,0.66824,0.94865,0.96499,1.55269,0.000497364,0.000497364,0.000497364
4,3588.89,0.92374,0.62309,1.36075,0.91027,0.92195,0.96591,0.69265,0.97122,0.64861,1.59412,0.000439375,0.000439375,0.000439375
5,4406.08,0.87416,0.54198,1.33095,0.93459,0.9283,0.97165,0.70876,0.94279,0.52644,1.54974,0.0003775,0.0003775,0.0003775
6,5283.94,0.85902,0.49012,1.34194,0.95467,0.96363,0.98045,0.76308,0.84204,0.42722,1.38882,0.000315625,0.000315625,0.000315625
7,6155.41,0.82258,0.46344,1.2975,0.97092,0.96091,0.98366,0.77511,0.81233,0.38621,1.36729,0.00025375,0.00025375,0.00025375
8,6949.8,0.78277,0.4222,1.27031,0.97558,0.97823,0.98515,0.79549,0.76105,0.33995,1.32056,0.000191875,0.000191875,0.000191875
9,7777.62,0.74398,0.38275,1.23186,0.98012,0.98825,0.98782,0.80065,0.75704,0.31791,1.30129,0.00013,0.00013,0.00013
10,8543.99,0.71223,0.36073,1.21523,0.97958,0.98322,0.98649,0.81899,0.69,0.29865,1.25551,6.8125e-05,6.8125e-05,6.8125e-05
